playerID,awardID,yearID,lgID,tie,notes
torboje01,BBWAA Manager of the Year,1990,AL,,
leylaji99,BBWAA Manager of the Year,1990,NL,,
leylaji99,TSN Manager of the Year,1990,NL,,
torboje01,TSN Manager of the Year,1990,AL,,
kellyto01,BBWAA Manager of the Year,1991,AL,,
coxbo01,BBWAA Manager of the Year,1991,NL,,
coxbo01,TSN Manager of the Year,1991,NL,,
kellyto01,TSN Manager of the Year,1991,AL,,
larusto01,BBWAA Manager of the Year,1992,AL,,
leylaji99,BBWAA Manager of the Year,1992,NL,,
larusto01,TSN Manager of the Year,1992,AL,,
leylaji99,TSN Manager of the Year,1992,NL,,
lamonge01,BBWAA Manager of the Year,1993,AL,,
bakerdu01,BBWAA Manager of the Year,1993,NL,,
coxbo01,TSN Manager of the Year,1993,NL,,
oatesjo01,TSN Manager of the Year,1993,AL,,
showabu99,BBWAA Manager of the Year,1994,AL,,
aloufe01,BBWAA Manager of the Year,1994,NL,,
aloufe01,TSN Manager of the Year,1994,NL,,
showabu99,TSN Manager of the Year,1994,AL,,
pinielo01,BBWAA Manager of the Year,1995,AL,,
baylodo01,BBWAA Manager of the Year,1995,NL,,
baylodo01,TSN Manager of the Year,1995,NL,,
hargrmi01,TSN Manager of the Year,1995,AL,,
oatesjo01,BBWAA Manager of the Year,1996,AL,,
torrejo01,BBWAA Manager of the Year,1996,AL,,
bochybr01,BBWAA Manager of the Year,1996,NL,,
bochybr01,TSN Manager of the Year,1996,NL,,
oatesjo01,TSN Manager of the Year,1996,AL,,
johnsda02,BBWAA Manager of the Year,1997,AL,,
bakerdu01,BBWAA Manager of the Year,1997,NL,,
bakerdu01,TSN Manager of the Year,1997,NL,,
johnsda02,TSN Manager of the Year,1997,AL,,
torrejo01,BBWAA Manager of the Year,1998,AL,,
dierkla01,BBWAA Manager of the Year,1998,NL,,
bochybr01,TSN Manager of the Year,1998,NL,,
torrejo01,TSN Manager of the Year,1998,AL,,
williji03,BBWAA Manager of the Year,1999,AL,,
mckeoja99,BBWAA Manager of the Year,1999,NL,,
coxbo01,TSN Manager of the Year,1999,NL,,
