playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abnersh01,1990,1,SDN,NL,CF,35,29,768,74,0,0,0,,,,,
abnersh01,1990,1,SDN,NL,LF,23,8,307,28,1,1,0,,,,,
abnersh01,1990,1,SDN,NL,RF,6,3,102,7,0,0,0,,,,,
aldremi01,1990,1,MON,NL,LF,26,20,535,37,3,1,0,,,,,
aldremi01,1990,1,MON,NL,RF,14,7,159,14,1,0,0,,,,,
allrebe01,1990,1,CLE,AL,CF,3,3,60,3,0,1,0,,,,,
allrebe01,1990,1,CLE,AL,RF,1,1,24,1,0,0,0,,,,,
aloumo01,1990,1,PIT,NL,LF,2,1,36,3,0,0,0,,,,,
aloumo01,1990,2,MON,NL,CF,2,0,12,0,0,0,0,,,,,
aloumo01,1990,2,MON,NL,LF,1,0,3,0,0,0,0,,,,,
aloumo01,1990,2,MON,NL,RF,2,2,54,6,1,0,0,,,,,
anderbr01,1990,1,BAL,AL,CF,21,19,451,46,1,1,1,,,,,
anderbr01,1990,1,BAL,AL,LF,44,35,969,103,2,1,0,,,,,
anderbr01,1990,1,BAL,AL,RF,1,1,24,1,0,0,0,,,,,
anthoer01,1990,1,HOU,NL,LF,13,12,283,17,1,1,0,,,,,
anthoer01,1990,1,HOU,NL,RF,59,56,1407,99,3,3,0,,,,,
azocaos01,1990,1,NYA,AL,LF,47,38,1074,90,4,1,1,,,,,
azocaos01,1990,1,NYA,AL,RF,12,11,270,16,0,0,0,,,,,
baineha01,1990,1,TEX,AL,RF,2,2,36,5,0,1,0,,,,,
baldwje01,1990,1,HOU,NL,LF,2,0,15,1,0,0,0,,,,,
baldwje01,1990,1,HOU,NL,RF,1,0,4,0,0,0,0,,,,,
barfije01,1990,1,NYA,AL,CF,4,3,81,8,0,1,0,,,,,
barfije01,1990,1,NYA,AL,RF,151,133,3580,297,17,8,3,,,,,
basske01,1990,1,SFN,NL,RF,55,54,1371,92,2,3,0,,,,,
belchke01,1990,1,TEX,AL,CF,5,3,93,9,0,0,0,,,,,
belchke01,1990,1,TEX,AL,LF,2,0,6,1,0,0,0,,,,,
belchke01,1990,1,TEX,AL,RF,2,0,12,2,0,0,0,,,,,
belleal01,1990,1,CLE,AL,LF,1,0,6,0,0,0,0,,,,,
bellge02,1990,1,TOR,AL,LF,106,106,2766,224,3,5,1,,,,,
benzito01,1990,1,CIN,NL,LF,10,8,222,26,0,0,0,,,,,
bergmda01,1990,1,DET,AL,LF,5,0,16,0,0,0,0,,,,,
berroge01,1990,1,ATL,NL,LF,3,0,15,1,0,0,0,,,,,
bicheda01,1990,1,CAL,AL,CF,16,15,339,34,1,0,1,,,,,
bicheda01,1990,1,CAL,AL,LF,51,36,1024,70,4,6,1,,,,,
bicheda01,1990,1,CAL,AL,RF,53,35,1060,79,8,1,3,,,,,
biggicr01,1990,1,HOU,NL,CF,34,34,849,91,4,3,0,,,,,
biggicr01,1990,1,HOU,NL,LF,17,10,263,20,2,1,0,,,,,
biggicr01,1990,1,HOU,NL,RF,2,0,4,1,0,0,0,,,,,
blankla02,1990,1,OAK,AL,CF,1,0,6,1,0,0,0,,,,,
blankla02,1990,1,OAK,AL,LF,10,3,108,5,0,1,0,,,,,
