playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
anderla02,1990,BOS,AL,ALCS,P,3,0,9,1,0,0,0,0,,,
armstja01,1990,CIN,NL,WS,P,1,0,9,0,0,0,0,0,,,
backmwa01,1990,PIT,NL,NLCS,3B,2,2,45,1,3,0,0,0,,,
barrema02,1990,BOS,AL,ALCS,2B,3,0,15,2,0,0,0,0,,,
belinst01,1990,PIT,NL,NLCS,P,3,0,11,0,0,0,0,0,,,
bellja01,1990,PIT,NL,NLCS,SS,6,6,156,4,22,1,2,0,,,
benzito01,1990,CIN,NL,NLCS,1B,2,2,54,17,0,0,0,0,,,
benzito01,1990,CIN,NL,WS,1B,3,2,60,24,0,0,1,0,,,
boddimi01,1990,BOS,AL,ALCS,P,1,1,24,0,2,1,0,0,,,
boggswa01,1990,BOS,AL,ALCS,3B,4,4,102,6,10,0,2,0,,,
boltoto01,1990,BOS,AL,ALCS,P,2,0,9,0,0,0,0,0,,,
bondsba01,1990,PIT,NL,NLCS,LF,6,6,156,13,0,0,0,0,,,
bonilbo01,1990,PIT,NL,NLCS,3B,3,1,57,1,5,0,1,0,,,
bonilbo01,1990,PIT,NL,NLCS,RF,5,5,99,3,0,1,0,0,,,
bordimi01,1990,OAK,AL,WS,SS,3,0,10,0,2,0,0,0,,,
bragggl01,1990,CIN,NL,NLCS,RF,2,1,33,2,0,0,0,0,,,
bragggl01,1990,CIN,NL,WS,LF,1,0,24,0,0,0,0,0,,,
breamsi01,1990,PIT,NL,NLCS,1B,4,2,69,26,3,0,3,0,,,
brownto05,1990,CIN,NL,NLCS,P,2,2,33,1,1,0,0,0,,,
brownto05,1990,CIN,NL,WS,P,1,1,18,0,0,0,0,0,,,
brunato01,1990,BOS,AL,ALCS,RF,4,4,102,13,0,0,0,0,,,
burksel01,1990,BOS,AL,ALCS,CF,4,4,102,9,1,0,0,0,,,
burnsto02,1990,OAK,AL,WS,P,2,0,5,0,0,0,0,0,,,
cansejo01,1990,OAK,AL,ALCS,RF,4,4,96,14,0,0,0,0,,,
cansejo01,1990,OAK,AL,WS,RF,3,3,79,4,0,0,0,0,,,
charlno01,1990,CIN,NL,NLCS,P,4,0,15,1,0,0,1,0,,,
charlno01,1990,CIN,NL,WS,P,1,0,3,0,0,0,0,0,,,
clemero02,1990,BOS,AL,ALCS,P,2,2,23,0,1,0,0,0,,,
daviser01,1990,CIN,NL,NLCS,LF,6,6,159,12,1,0,0,0,,,
daviser01,1990,CIN,NL,WS,LF,4,4,87,4,0,0,0,0,,,
dibblro01,1990,CIN,NL,NLCS,P,4,0,15,0,0,0,0,0,,,
dibblro01,1990,CIN,NL,WS,P,3,0,14,0,0,0,0,0,,,
drabedo01,1990,PIT,NL,NLCS,P,2,2,49,1,6,1,0,0,,,
duncama01,1990,CIN,NL,NLCS,2B,6,6,147,6,11,1,0,0,,,
duncama01,1990,CIN,NL,WS,2B,4,4,111,9,9,0,2,0,,,
eckerde01,1990,OAK,AL,ALCS,P,3,0,10,0,0,0,0,0,,,
eckerde01,1990,OAK,AL,WS,P,2,0,4,0,0,0,0,0,,,
gallemi01,1990,OAK,AL,ALCS,2B,2,2,41,5,4,0,2,0,,,
gallemi01,1990,OAK,AL,ALCS,SS,3,2,58,3,5,0,0,0,,,
gallemi01,1990,OAK,AL,WS,SS,4,4,96,7,10,1,3,0,,,
