year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
1990,NL,ATL,ATL01,11/04/90,23/09/90,81,76,1009748
1990,AL,BAL,BAL11,19/04/90,03/10/90,80,79,2420997
1990,AL,BOS,BOS07,09/04/90,03/10/90,81,80,2512898
1990,AL,CAL,ANA01,09/04/90,30/09/90,81,81,2558640
1990,AL,CHA,CHI10,09/04/90,30/09/90,80,79,2002359
1990,NL,CHN,CHI11,10/04/90,24/09/90,81,77,2243394
1990,NL,CIN,CIN08,17/04/90,03/10/90,81,78,2407563
1990,AL,CLE,CLE07,19/04/90,03/10/90,81,75,1228031
1990,AL,DET,DET04,12/04/90,30/09/90,81,79,1470157
1990,NL,HOU,HOU02,09/04/90,30/09/90,81,81,1313560
1990,AL,KCA,KAN06,09/04/90,26/09/90,81,78,2244536
1990,NL,LAN,LOS03,09/04/90,03/10/90,81,81,3002950
1990,AL,ML4,MIL05,10/04/90,03/10/90,81,79,1775008
1990,AL,MIN,MIN03,20/04/90,03/10/90,81,80,1754348
1990,NL,MON,MON02,13/04/90,03/10/90,81,81,1421391
1990,AL,NYA,NYC16,12/04/90,03/10/90,81,80,2006436
1990,NL,NYN,NYC17,09/04/90,30/09/90,81,77,2733555
1990,AL,OAK,OAK01,09/04/90,03/10/90,81,80,2903203
1990,NL,PHI,PHI12,13/04/90,03/10/90,81,77,1992124
1990,NL,PIT,PIT07,13/04/90,03/10/90,81,78,2051806
1990,NL,SDN,SAN01,10/04/90,23/09/90,81,79,1894172
1990,AL,SEA,SEA02,13/04/90,23/09/90,81,81,1509714
1990,NL,SFN,SFO02,13/04/90,03/10/90,81,80,2001105
1990,NL,SLN,STL09,09/04/90,30/09/90,81,81,2573275
1990,AL,TEX,ARL01,09/04/90,30/09/90,82,81,2057917
1990,AL,TOR,TOR02,10/04/90,23/09/90,81,81,3884384
1991,NL,ATL,ATL01,10/04/91,06/10/91,81,78,2140217
1991,AL,BAL,BAL11,08/04/91,06/10/91,81,79,2551102
1991,AL,BOS,BOS07,11/04/91,06/10/91,81,81,2595356
1991,AL,CAL,ANA01,15/04/91,06/10/91,81,81,2416146
1991,AL,CHA,CHI12,18/04/91,03/10/91,81,81,2968154
1991,NL,CHN,CHI11,09/04/91,06/10/91,83,81,2311520
1991,NL,CIN,CIN08,08/04/91,02/10/91,81,80,2372377
1991,AL,CLE,CLE07,16/04/91,03/10/91,82,79,1051863
1991,AL,DET,DET04,08/04/91,30/09/91,81,80,1659472
1991,NL,HOU,HOU02,12/04/91,29/09/91,81,81,1196152
1991,AL,KCA,KAN06,08/04/91,02/10/91,81,80,2161527
1991,NL,LAN,LOS03,12/04/91,02/10/91,81,81,3346630
1991,AL,ML4,MIL05,15/04/91,30/09/91,80,79,1478814
1991,AL,MIN,MIN03,12/04/91,06/10/91,81,81,2293842
1991,NL,MON,MON02,15/04/91,08/09/91,68,67,978045
1991,AL,NYA,NYC16,15/04/91,06/10/91,81,78,1863729
1991,NL,NYN,NYC17,08/04/91,29/09/91,82,78,2263729
1991,AL,OAK,OAK01,09/04/91,29/09/91,81,81,2713193
1991,NL,PHI,PHI12,12/04/91,06/10/91,83,83,2049958
1991,NL,PIT,PIT07,08/04/91,06/10/91,84,83,2073028
1991,NL,SDN,SAN01,09/04/91,06/10/91,81,81,1803929
1991,AL,SEA,SEA02,09/04/91,06/10/91,81,81,2109966
1991,NL,SFN,SFO02,15/04/91,06/10/91,81,81,1737489
1991,NL,SLN,STL09,19/04/91,02/10/91,84,82,2449537
1991,AL,TEX,ARL01,08/04/91,06/10/91,81,79,2297718
1991,AL,TOR,TOR02,08/04/91,02/10/91,81,81,4001526
1992,NL,ATL,ATL01,09/04/92,04/10/92,81,80,3077400
1992,AL,BAL,BAL12,06/04/92,28/09/92,81,80,3569534
1992,AL,BOS,BOS07,13/04/92,04/10/92,81,78,2469489
1992,AL,CAL,ANA01,07/04/92,04/10/92,81,81,2065434
1992,AL,CHA,CHI12,13/04/92,27/09/92,82,81,2681156
1992,NL,CHN,CHI11,10/04/92,04/10/92,81,80,2126720
1992,NL,CIN,CIN08,06/04/92,04/10/92,81,80,2315946
1992,AL,CLE,CLE07,11/04/92,04/10/92,81,78,1224274
1992,AL,DET,DET04,06/04/92,30/09/92,80,78,1423963
1992,NL,HOU,HOU02,07/04/92,04/10/92,81,81,1211348
1992,AL,KCA,KAN06,13/04/92,04/10/92,81,79,1867689
1992,NL,LAN,LOS03,06/04/92,27/09/92,81,77,2473366
1992,AL,ML4,MIL05,06/04/92,27/09/92,81,79,1857351
1992,AL,MIN,MIN03,10/04/92,01/10/92,81,81,2482188
1992,NL,MON,MON02,13/04/92,27/09/92,81,80,1731566
1992,AL,NYA,NYC16,07/04/92,27/09/92,81,80,1748737
1992,NL,NYN,NYC17,10/04/92,04/10/92,81,76,1779534
1992,AL,OAK,OAK01,06/04/92,04/10/92,81,81,2494160
1992,NL,PHI,PHI12,07/04/92,27/09/92,81,78,1927448
1992,NL,PIT,PIT07,06/04/92,27/09/92,81,81,1834523
1992,NL,SDN,SAN01,09/04/92,27/09/92,81,81,1721406
1992,AL,SEA,SEA02,06/04/92,04/10/92,81,81,1651367
1992,NL,SFN,SFO02,14/04/92,27/09/92,81,79,1561218
1992,NL,SLN,STL09,06/04/92,04/10/92,81,80,2418483
1992,AL,TEX,ARL01,13/04/92,27/09/92,81,80,2198231
1992,AL,TOR,TOR02,10/04/92,04/10/92,81,81,4028318
1993,NL,ATL,ATL01,08/04/93,03/10/93,81,81,3879508
1993,AL,BAL,BAL12,05/04/93,03/10/93,81,80,3643768
1993,AL,BOS,BOS07,13/04/93,03/10/93,81,80,2422054
1993,AL,CAL,ANA01,06/04/93,23/09/93,81,81,2063049
1993,AL,CHA,CHI12,09/04/93,30/09/93,81,79,2581061
1993,NL,CHN,CHI11,05/04/93,22/09/93,82,80,2643428
1993,NL,CIN,CIN08,05/04/93,03/10/93,81,79,2454428
1993,AL,CLE,CLE07,05/04/93,03/10/93,81,80,2177908
1993,NL,COL,DEN01,09/04/93,26/09/93,81,79,4483203
1993,AL,DET,DET04,13/04/93,22/09/93,81,81,1971401
1993,NL,FLO,MIA01,05/04/93,03/10/93,81,80,3066756
1993,NL,HOU,HOU02,05/04/93,23/09/93,81,81,2081506
1993,AL,KCA,KAN06,05/04/93,29/09/93,81,80,1941889
1993,NL,LAN,LOS03,13/04/93,03/10/93,81,81,3164720
1993,AL,ML4,MIL05,12/04/93,29/09/93,81,78,1695077
1993,AL,MIN,MIN03,06/04/93,03/10/93,81,81,2054523
1993,NL,MON,MON02,13/04/93,03/10/93,81,81,1641438
1993,AL,NYA,NYC16,12/04/93,03/10/93,81,80,2416837
1993,NL,NYN,NYC17,05/04/93,30/09/93,81,79,1873115
1993,AL,OAK,OAK01,05/04/93,03/10/93,81,79,2029063
1993,NL,PHI,PHI12,09/04/93,26/09/93,81,80,3137512
1993,NL,PIT,PIT07,06/04/93,30/09/93,81,79,1652922
1993,NL,SDN,SAN01,12/04/93,03/10/93,81,80,1375432
1993,AL,SEA,SEA02,06/04/93,26/09/93,81,81,2052425
1993,NL,SFN,SFO02,12/04/93,29/09/93,81,81,2604635
1993,NL,SLN,STL09,06/04/93,03/10/93,81,81,2840533
1993,AL,TEX,ARL01,09/04/93,03/10/93,81,79,2252616
1993,AL,TOR,TOR02,09/04/93,26/09/93,81,81,4057747
1994,NL,ATL,ATL01,12/04/94,31/07/94,55,54,2534240
1994,AL,BAL,BAL12,04/04/94,31/07/94,55,54,2535359
1994,AL,BOS,BOS07,04/04/94,07/08/94,64,61,1775541
1994,AL,CAL,ANA01,11/04/94,10/08/94,63,63,1512622
1994,AL,CHA,CHI12,08/04/94,31/07/94,53,53,1697448
1994,NL,CHN,CHI11,04/04/94,10/08/94,59,58,1845278
1994,NL,CIN,CIN08,03/04/94,11/08/94,60,60,1897591
1994,AL,CLE,CLE08,04/04/94,04/08/94,51,51,1995474
1994,NL,COL,DEN01,04/04/94,11/08/94,57,56,3281464
1994,AL,DET,DET04,11/04/94,11/08/94,58,57,1184783
1994,NL,FLO,MIA01,12/04/94,11/08/94,59,59,1942377
1994,NL,HOU,HOU02,04/04/94,11/08/94,59,59,1560970
1994,AL,KCA,KAN06,08/04/94,07/08/94,59,57,1400581
1994,NL,LAN,LOS03,05/04/94,04/08/94,55,55,2280140
1994,AL,ML4,MIL05,05/04/94,07/08/94,56,56,1268398
1994,AL,MIN,MIN03,05/04/94,10/08/94,59,59,1398565
1994,NL,MON,MON02,08/04/94,04/08/94,52,52,1276250
1994,AL,NYA,NYC16,04/04/94,11/08/94,57,57,1681507
1994,NL,NYN,NYC17,11/04/94,07/08/94,53,52,1152161
1994,AL,OAK,OAK01,11/04/94,11/08/94,56,56,1240920
1994,NL,PHI,PHI12,11/04/94,11/08/94,60,58,2289963
1994,NL,PIT,PIT07,08/04/94,11/08/94,61,60,1222579
1994,NL,SDN,SAN01,04/04/94,31/07/94,57,57,953886
1994,AL,SEA,SEA02,11/04/94,18/07/94,44,44,1102288
1994,NL,SFN,SFO02,04/04/94,03/08/94,60,59,1704317
1994,NL,SLN,STL09,12/04/94,31/07/94,56,54,1839098
1994,AL,TEX,ARL02,11/04/94,10/08/94,63,62,2502662
