playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
robinfr02,1990,BAL,AL,1,162,76,85,5,N
morgajo01,1990,BOS,AL,1,162,88,74,1,N
raderdo02,1990,CAL,AL,1,162,80,82,4,N
torboje01,1990,CHA,AL,1,162,94,68,2,N
mcnamjo99,1990,CLE,AL,1,162,77,85,4,N
andersp01,1990,DET,AL,1,162,79,83,3,N
wathajo01,1990,KCA,AL,1,161,75,86,6,N
kellyto01,1990,MIN,AL,1,162,74,88,7,N
trebeto99,1990,ML4,AL,1,162,74,88,6,N
dentbu01,1990,NYA,AL,1,49,18,31,7,N
merrist99,1990,NYA,AL,2,113,49,64,7,N
larusto01,1990,OAK,AL,1,162,103,59,1,N
lefebji01,1990,SEA,AL,1,162,77,85,5,N
valenbo02,1990,TEX,AL,1,162,83,79,3,N
gastoci01,1990,TOR,AL,1,162,86,76,2,N
nixonru01,1990,ATL,NL,1,65,25,40,6,N
coxbo01,1990,ATL,NL,2,97,40,57,6,N
zimmedo01,1990,CHN,NL,1,162,77,85,5,N
pinielo01,1990,CIN,NL,1,162,91,71,1,N
howear01,1990,HOU,NL,1,162,75,87,5,N
lasorto01,1990,LAN,NL,1,162,86,76,2,N
rodgebu01,1990,MON,NL,1,162,85,77,3,N
johnsda02,1990,NYN,NL,1,42,20,22,2,N
harrebu01,1990,NYN,NL,2,120,71,49,2,N
leyvani99,1990,PHI,NL,1,162,77,85,4,N
leylaji99,1990,PIT,NL,1,162,95,67,1,N
mckeoja99,1990,SDN,NL,1,80,37,43,5,N
riddogr99,1990,SDN,NL,2,82,38,44,5,N
craigro01,1990,SFN,NL,1,162,85,77,3,N
herzowh01,1990,SLN,NL,1,80,33,47,6,N
schoere01,1990,SLN,NL,2,24,13,11,6,N
torrejo01,1990,SLN,NL,3,58,24,34,6,N
robinfr02,1991,BAL,AL,1,37,13,24,6,N
oatesjo01,1991,BAL,AL,2,125,54,71,6,N
morgajo01,1991,BOS,AL,1,162,84,78,3,N
raderdo02,1991,CAL,AL,1,124,61,63,7,N
rodgebu01,1991,CAL,AL,2,38,20,18,7,N
torboje01,1991,CHA,AL,1,162,87,75,2,N
mcnamjo99,1991,CLE,AL,1,77,25,52,7,N
hargrmi01,1991,CLE,AL,2,85,32,53,7,N
andersp01,1991,DET,AL,1,162,84,78,2,N
wathajo01,1991,KCA,AL,1,37,15,22,6,N
schaebo99,1991,KCA,AL,2,1,1,0,6,N
mcraeha01,1991,KCA,AL,3,124,66,58,6,N
kellyto01,1991,MIN,AL,1,162,95,67,1,N
trebeto99,1991,ML4,AL,1,162,83,79,4,N
merrist99,1991,NYA,AL,1,162,71,91,5,N
larusto01,1991,OAK,AL,1,162,84,78,4,N
lefebji01,1991,SEA,AL,1,162,83,79,5,N
valenbo02,1991,TEX,AL,1,162,85,77,3,N
gastoci01,1991,TOR,AL,1,120,66,54,1,N
tenacge01,1991,TOR,AL,2,33,19,14,1,N
gastoci01,1991,TOR,AL,3,9,6,3,1,N
coxbo01,1991,ATL,NL,1,162,94,68,1,N
zimmedo01,1991,CHN,NL,1,37,18,19,4,N
altobjo01,1991,CHN,NL,2,1,0,1,4,N
essiaji01,1991,CHN,NL,3,122,59,63,4,N
pinielo01,1991,CIN,NL,1,162,74,88,5,N
howear01,1991,HOU,NL,1,162,65,97,6,N
lasorto01,1991,LAN,NL,1,162,93,69,2,N
