playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
anderla02,1990,ALCS,BOS,AL,0,1,3,0,0,0,0,9,3,2,0,3,3,0.273,6,0,0,0,0,15,1,2,0,1,0
armstja01,1990,WS,CIN,NL,0,0,1,0,0,0,0,9,1,0,0,0,3,0.1,0,0,0,0,0,10,0,0,0,0,0
belinst01,1990,NLCS,PIT,NL,0,0,3,0,0,0,0,11,3,1,0,0,4,0.214,2.45,0,0,0,0,14,1,1,0,0,0
boddimi01,1990,ALCS,BOS,AL,0,1,1,1,1,0,0,24,6,2,0,3,7,0.214,2.25,1,0,2,0,35,0,4,1,1,1
boltoto01,1990,ALCS,BOS,AL,0,0,2,0,0,0,0,9,2,0,0,2,3,0.222,0,0,0,0,0,12,0,0,1,0,1
brownto05,1990,NLCS,CIN,NL,1,1,2,2,0,0,0,33,9,4,1,6,5,0.237,3.27,0,0,1,0,46,0,4,0,1,0
brownto05,1990,WS,CIN,NL,1,0,1,1,0,0,0,18,6,3,2,2,2,0.25,4.5,0,0,0,0,26,0,3,0,0,0
burnsto02,1990,WS,OAK,AL,0,0,2,0,0,0,0,5,5,3,0,2,0,0.5,16.2,0,1,0,0,12,0,3,0,0,0
charlno01,1990,NLCS,CIN,NL,1,1,4,0,0,0,0,15,4,1,0,3,3,0.235,1.8,0,0,0,0,20,0,2,0,0,1
charlno01,1990,WS,CIN,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.333,0,0,0,0,0,4,0,0,1,0,0
clemero02,1990,ALCS,BOS,AL,0,1,2,2,0,0,0,23,7,3,0,5,4,0.259,3.52,0,1,0,0,32,0,3,0,0,1
dibblro01,1990,NLCS,CIN,NL,0,0,4,0,0,0,1,15,0,0,0,1,10,0,0,0,0,0,0,16,2,0,0,0,0
dibblro01,1990,WS,CIN,NL,1,0,3,0,0,0,0,14,3,0,0,1,4,0.188,0,0,1,0,0,17,1,0,0,0,1
drabedo01,1990,NLCS,PIT,NL,1,1,2,2,1,0,0,49,12,3,0,3,13,0.211,1.65,1,1,1,0,63,0,4,1,1,1
eckerde01,1990,ALCS,OAK,AL,0,0,3,0,0,0,2,10,2,0,0,0,3,0.167,0,0,0,0,0,12,3,0,0,0,0
eckerde01,1990,WS,OAK,AL,0,1,2,0,0,0,0,4,3,1,0,0,1,0.429,6.75,0,0,0,0,7,2,1,0,0,0
grayje01,1990,ALCS,BOS,AL,0,0,2,0,0,0,0,10,4,1,0,1,2,0.308,2.7,0,0,0,0,16,0,2,2,0,0
harrigr01,1990,ALCS,BOS,AL,0,1,1,0,0,0,0,1,3,1,0,0,0,0.75,27,0,0,0,0,4,0,1,0,0,0
honeyri01,1990,ALCS,OAK,AL,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1
honeyri01,1990,WS,OAK,AL,0,0,1,0,0,0,0,5,2,0,0,1,0,0.286,0,1,0,0,0,8,0,0,0,0,0
jacksda02,1990,NLCS,CIN,NL,1,0,2,2,0,0,0,34,8,3,0,7,8,0.19,2.38,1,0,0,0,49,0,3,0,0,0
jacksda02,1990,WS,CIN,NL,0,0,1,1,0,0,0,8,6,3,1,2,0,0.462,10.12,0,0,0,0,17,0,4,1,1,0
kieckda01,1990,ALCS,BOS,AL,0,0,1,1,0,0,0,17,6,1,0,1,2,0.273,1.59,0,0,1,0,24,0,1,0,0,1
klinkjo01,1990,WS,OAK,AL,0,0,1,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,1,0,0,0,0,0
lampde01,1990,ALCS,BOS,AL,0,0,1,0,0,0,0,1,2,4,0,2,0,1,108,1,0,0,0,5,0,4,0,1,0
landrbi01,1990,NLCS,PIT,NL,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0
mahleri01,1990,NLCS,CIN,NL,0,0,1,0,0,0,0,5,2,0,0,0,0,0.286,0,0,0,0,0,7,0,0,0,0,0
mooremi01,1990,ALCS,OAK,AL,1,0,1,1,0,0,0,18,4,1,0,1,5,0.19,1.5,0,0,0,0,23,0,1,0,1,0
mooremi01,1990,WS,OAK,AL,0,1,1,1,0,0,0,8,8,2,2,0,1,0.5,6.75,0,0,0,0,16,0,6,0,0,1
murphro01,1990,ALCS,BOS,AL,0,0,1,0,0,0,0,2,2,1,0,1,0,0.667,13.5,0,0,0,0,4,1,1,0,0,0
myersra01,1990,NLCS,CIN,NL,0,0,4,0,0,0,3,17,2,0,0,3,7,0.111,0,0,0,0,0,21,3,0,0,0,0
myersra01,1990,WS,CIN,NL,0,0,3,0,0,0,1,9,2,0,0,0,3,0.182,0,0,0,0,0,11,3,0,0,0,0
